base_price,discounted_price,product_name,category,brand,description
10.99,10.99,Gel Lavant Doux Hypoallergénique Pour Cheveux & Corps 500ml,"Bébé, Maman",Cattier,"Le Gel Lavant Doux Cattier est spécialement formulé pour laver en douceur les cheveux fragiles et la peau sensible de bébé. Sa formule très douce, sans savon, respecte l'équilibre naturel du cuir chevelu et de l'épiderme. Riche en protéines de riz, en extraits de calendula bio et d’amande douce, il laisse la peau souple et confortable et parfume délicatement bébé."
3.95,3.95,"Bol Pomme De Terre, Artichaut & Ricotta 12m 2x200g Bio","Bébé, Maman",Babybio,"Bol Pomme de terre, artichaut & ricotta 12M 2x200G Bio"
4.99,4.99,Lentilles Vertes 1kg Bio,Epicerie Salée,Naturalia,Lentilles Vertes 1Kg Bio.
2.99,2.99,Soja Vert h Mungo 500g Bio,Epicerie Salée,Markal,"On l'appelle improprement ""soja"" alors qu'il s'agit d'un haricot. On le fait germer pour obtenir des pousses de soja."
3.74,3.74,"Bol Pomme De Terre, épinards & Saumon 8m 2x200g Bio","Bébé, Maman",Babybio,"Bol pomme de terre, épinards & saumon 8M 2x200G Bio."
3.74,3.74,"Bol Légumes, Saumon & Macaroni 12m 2x200g Bio","Bébé, Maman",Babybio,"Bol Menu du Jour Babybio, avec des petits morceaux, dès 12 mois."
3.49,3.49,Sésame Blond Complet 500g Bio,Epicerie Salée,Markal,"Les graines sont l'astuce pour associer originalité culinaire et bienfaits nutritionnels : elles s'ajoutent à de nombreux plats pour apporter caractère, saveur et authenticité. "
2.5,2.5,Tomates Pelées Entières 660g Bio,Epicerie Salée,Naturalia,Tomates pelées entières 660G Bio.
5.9,5.9,"Lessive Liquide 1,5l Ecocert",Maison,Naturalia,"Lessive liquide 1,5L Ecocert"
2.29,2.29,Concentré De Tomate 200g Bio,Epicerie Salée,Le delizie di mamma,Concentré de Tomate 200G Bio.
15.45,15.45,Pinot Noir Bourgogne 2015 75cl Bio,Vins et alcools,Bourgogne,Pinot Noir Bourgogne 2015 75cl Bio.
14.45,14.45,Crémant De Limoux 75 Cl Bio,Vins et alcools,Gerard bertrand,"C'est en 1531, à l'Abbaye de St Hilaire près de Limoux, que le 1er Brut du Monde fût élaboré."
9.45,9.45,"Aop Malepère Château Guilhem - ""prestige Du Château Guilhem"" 75 Cl Bio",Vins et alcools,Autre marque,"AOP Malpère Château Guilhem - ""Prestige du château Guilhem"" 75 Cl Bio."
3.9,3.9,Petit Goûter Sans Gluten 150g Bio,Epicerie sucrée,Recettes de celiane,Petit goûter sans gluten 150G Bio.
12.15,12.15,Sainte-foy Bordeaux Rouge 75cl Bio,Vins et alcools,Sainte foy,La Réserve est le grand classique des Mangons qui se différencie par la récolte de vignes plus âgées avec un rendement moindre et un élevage en cuve et en barriques.
4.05,4.05,Moelleux Cœur Framboise Sans Gluten 200g Bio,Epicerie sucrée,Recettes de celiane,Moelleux Cœur Framboise sans gluten 200G Bio.
5.9,5.9,Aoc Sainte-foy Bordeaux Rouge 375ml Bio,Vins et alcools,Marque nationale,Le millesime:
9.1,9.1,Château Couronneau - Aop Bordeaux Supérieur 75cl Bio,Vins et alcools,ChÂteau couronneau,Vin rouge Château Couronneau AOP Bordeaux Supérieur. 2015.
6.95,6.95,Chocolat En Poudre Cool Matin 500g Bio,Epicerie sucrée,Vitabio,Chocolat en poudre Cool Matin 500G Bio.
4.45,4.45,4x90g Vitabio Cool Frui/pomme Bio,Epicerie sucrée,Vitabio,Toute la force des fruits pour des aventures pleines de vie!
4.59,4.59,Lait D'amande Coco 1l Bio,Boissons,La mandorle,"Légèrement velouté et délicatement parfumé, ce LAIT d'AMANDE COCO concilie à la fois la douceur de l'amande et la fraîcheur du coco pour une harmonie des plus surprenantes."
2.5,2.5,Petit Beurre Nature 150g Bio,Epicerie sucrée,Bisson,"Bisson vous invite à découvrir des recettes gourmandes de biscuits sans œufs , qui mettent en avant les bienfaits du miel et des ingrédients moins raffinés (farine semi-complète, sucre de canne roux...)."
3.49,3.49,Biscottes Pour Bébé à L'épeautre Sans Sucres Ajoutés  200g Bio,"Bébé, Maman",Holle,"Les Biscottes Bébé à l'Épeautre Holle sont préparées à partir d'ingrédients provenant de l'agriculture biologique, levure naturelle et sel de mer. "
2.85,2.85,Dessert Pomme Sans Sucres Ajoutés 4x100g Bio,Epicerie sucrée,Danival,Purée de pomme Bio.
6.75,6.75,Chocolat Noir Aux Noisettes Sans Gluten 180g Bio,Epicerie sucrée,Dardenne,110 ans de savoir faire et de fabrications traditionnelles dans un strict respect des méthodes des Maîtres chocolatiers!
